
#Representable Numbers with 0 Small Step Chains
-2 1* 1  @(p)

#Representable Numbers with 1 Small Step Chains
120 6* 4  @(p)+@(q)+@(r)+@(s)+@(-p+q+r+1)+@(-p+r+s)
121 6* 4  @(p)+@(q)+@(r)+@(s)+@(-p+q+r+1)+@(-p+r+s+1)
122 6* 4  @(p)+@(q)+@(r)+@(s)+@(-p+q+s)+@(-p+r+s)
123 6* 4  @(p)+@(q)+@(r)+@(s)+@(-p+q+s)+@(-p+r+s+1)
124 6* 4  @(p)+@(q)+@(r)+@(s)+@(-p+q+s+1)+@(-p+r+s)
125 6* 4  @(p)+@(q)+@(r)+@(s)+@(-p+q+s+1)+@(-p+r+s+1)
126 7* 1  @(p)+@(p-6)+@(p-7)+@(p-8)+@(p-10)+@(p-11)+@(p-12)
127 7* 2  @(p)+@(p-5)+@(p-6)+@(p-7)+@(q)+@(q-2)+@(q-6)
128 7* 2  @(p)+@(p-5)+@(p-6)+@(p-7)+@(q)+@(q-1)+@(q-4)
129 7* 2  @(p)+@(p-4)+@(p-6)+@(q)+@(q-3)+@(q-4)+@(q-5)
130 7* 2  @(p)+@(p-4)+@(p-6)+@(q)+@(q-2)+@(q-3)+@(q-4)
131 7* 2  @(p)+@(p-4)+@(p-6)+@(q)+@(q-1)+@(q-3)+@(q-4)
132 7* 2  @(p)+@(p-4)+@(p-6)+@(q)+@(q-1)+@(q-2)+@(q-3)
133 7* 1  @(p)+@(p-4)+@(p-5)+@(p-6)+@(p-8)+@(p-9)+@(p-10)
134 7* 2  @(p)+@(p-4)+@(p-5)+@(q)+@(q-2)+@(q-3)+@(q-5)
135 7* 2  @(p)+@(p-4)+@(p-5)+@(q)+@(q-1)+@(q-2)+@(q-3)
136 7* 1  @(p)+@(p-3)+@(p-4)+@(p-6)+@(p-7)+@(p-8)+@(p-10)
137 7* 2  @(p)+@(p-3)+@(p-4)+@(p-5)+@(q)+@(q-2)+@(q-4)
138 7* 2  @(p)+@(p-3)+@(q)+@(q-2)+@(q-4)+@(-p+2q-3)+@(-p+2q-4)
139 7* 2  @(p)+@(p-3)+@(q)+@(q-2)+@(q-4)+@(-p+2q-2)+@(-p+2q-3)
140 7* 2  @(p)+@(p-3)+@(q)+@(q-2)+@(q-4)+@(-p+2q-1)+@(-p+2q-2)
141 7* 3  @(p)+@(p-3)+@(q)+@(q-1)+@(r)+@(r-1)+@(-p+q+r+1)
142 7* 3  @(p)+@(p-3)+@(q)+@(q-1)+@(r)+@(r-1)+@(-p+q+r+2)
143 7* 2  @(p)+@(p-2)+@(p-6)+@(q)+@(q-1)+@(q-3)+@(q-4)
144 7* 2  @(p)+@(p-2)+@(p-6)+@(q)+@(q-1)+@(q-2)+@(q-3)
145 7* 2  @(p)+@(p-2)+@(p-4)+@(q)+@(q-1)+@(q-3)+@(q-4)
146 7* 2  @(p)+@(p-2)+@(p-4)+@(q)+@(q-1)+@(q-2)+@(q-3)
147 7* 3  @(p)+@(p-2)+@(q)+@(q-1)+@(r)+@(r-1)+@(-p+q+r+1) ,-p+q+r>=0
148 7* 3  @(p)+@(q)+@(q-2)+@(r)+@(r-2)+@(-p+q+r)+@(-p+q+r-1)
149 7* 3  @(p)+@(q)+@(q-1)+@(-p+2q)+@(r)+@(-p+q+r+1)+@(-2p+2q+r+1)
150 7* 3  @(p)+@(q)+@(q-1)+@(-p+2q-1)+@(r)+@(-p+q+r+1)+@(-2p+2q+r)
151 7* 3  @(p)+@(q)+@(q-1)+@(r)+@(-p+2q)+@(-p+q+r+1)+@(-2p+2q+r+1)
152 7* 3  @(p)+@(q)+@(q-1)+@(r)+@(-p+2q-1)+@(-p+q+r+1)+@(-2p+2q+r)
153 7* 3  @(p)+@(q)+@(q-1)+@(r)+@(r-1)+@(-p+q+r+1)+@(-p+q+r)
154 7* 3  @(p)+@(q)+@(-p+2q-2)+@(r)+@(-p+q+r)+@(-p+q+r-1)+@(-2p+2q+r-1)
155 7* 3  @(p)+@(q)+@(-p+2q-1)+@(r)+@(-p+q+r)+@(-p+q+r-1)+@(-2p+2q+r)
156 7* 3  @(p)+@(q)+@(r)+@(-p+2q-2)+@(-p+q+r)+@(-p+q+r-1)+@(-2p+2q+r-1)
157 7* 3  @(p)+@(q)+@(r)+@(-p+2q-1)+@(-p+q+r)+@(-p+q+r-1)+@(-2p+2q+r)
158 7* 3  @(p)+@(q)+@(r)+@(r-1)+@(-p+q+r+1)+@(-p+2r)+@(-2p+q+2r+1)
159 7* 3  @(p)+@(q)+@(r)+@(r-1)+@(-p+q+r+1)+@(-p+2r-1)+@(-2p+q+2r)
160 7* 3  @(p)+@(q)+@(r)+@(-p+q+r)+@(-p+q+r-1)+@(-p+2r-2)+@(-2p+q+2r-1)
161 7* 3  @(p)+@(q)+@(r)+@(-p+q+r)+@(-p+q+r-1)+@(-p+2r-1)+@(-2p+q+2r)
162 7* 3  @(p)+@(q)+@(r)+@(-p+q+r+1)+@(-2p+2q+r)+@(-2p+q+2r)+@(-3p+2q+2r)
163 7* 3  @(p)+@(q)+@(r)+@(-p+q+r+1)+@(-2p+2q+r)+@(-2p+q+2r+1)+@(-3p+2q+2r+1)
164 7* 3  @(p)+@(q)+@(r)+@(-p+q+r+1)+@(-2p+2q+r+1)+@(-2p+q+2r)+@(-3p+2q+2r+1)
165 7* 3  @(p)+@(q)+@(r)+@(-p+q+r+1)+@(-2p+2q+r+1)+@(-2p+q+2r+1)+@(-3p+2q+2r+2)
