http://kanji-database.sourceforge.net/variants/similar-chars.html
ＵＣＳ類似漢字一覧表



𣅍	2314D	【大漢和】4731 ベン・義未詳
𣍟	2335F	【大漢和】14334 𣍟、吐也
𣍟	2F980	【大漢和】29258 肎、古作𣍟。
𣎅	23385	【大漢和】14386 𣎅、四凶之名
𦝲	26772	【大漢和】29726 𦝲、臆下也
𣎛	2339B	【大漢和】14401 𣎛、月在乙、東北方也
𦠈	26808	【大漢和】29874 𦠈、瘡也
𥃵	250F5	【康煕】扶泛切音梵大目
𥃴	250F4	【康煕】虚正切兄去聲目轉也
𥖛	2559B	【大漢和】24516
𥗁	255C1	【大漢和】24516
𥥹	25979	【大漢和】25514
𥥺	2597A	【大漢和】25514
𥫠	25AE0	【大漢和】25856 簊同字
𥫲	25AF2	【大漢和】25876 魚を捕る器
𦊋	2628B	【大漢和】28229 網綱
𦊋	2628B	【大漢和】14570 𦊋、義未詳、音得
𦡂	26842	【大漢和】29942
𦡦	26866	【大漢和】29942
𦺺	26EBA	【大漢和】32003 草のかへるさま
𦽓	26F53	【大漢和】32153 草のめぐりまつわるさま
𧏊	273CA	【大漢和】31926 莔、或作𧏊。
𧏊	2F9AB	【大漢和】33450 𧏊、瓜蟲
𧥦	27966	【大漢和】35246 𧥦、拒譍也。
𧥦	2F9CC	【大漢和】35232 訏元字
𩂫	290AB	【大漢和】32697
𩂭	290AD	【大漢和】42279
𩜮	2972E	【大漢和】44259
𩝮	2976E	【大漢和】44391
𩵏	29D4F	【大漢和】45966
𩵐	29D50	【大漢和】45967
𩾔	29F94	【大漢和】46640
𩾕	29F95	【大漢和】46642
